NO_OF_CHLD,EDU_DESC,MRRY_DESC,ADDR_PRVC,OCPN_DESC,NO_OF_CHLD_prev,EDU_DESC_prev,MRRY_DESC_prev,ADDR_PRVC_prev,OCPN_DESC_prev
0.0,bachelor's degree,married - registered,ชลบุรี,commerce entrepreneur,0.0,vocational certificate,married,ชลบุรี,commerce entrepreneur
0.0,bachelor's degree,single,นครสวรรค์,lawyer and legal practitioner,0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed
1.0,bachelor's degree,married,นนทบุรี,financial institution employee,0.0,bachelor's degree,married,นนทบุรี,financial institution employee
0.0,vocational certificate,single,สมุทรปราการ,industrial business employee,0.0,vocational certificate,single,สมุทรปราการ,industrial business employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,married,กรุงเทพมหานคร,industrial business employee
0.0,,single,ปทุมธานี,soldier,,,,pkn,soldier
0.0,vocational certificate/ diploma,single,เชียงใหม่,service business employee,0.0,vocational certificate/ diploma,single,เชียงใหม่,"civil servant, state enterprise employee, pensioner"
0.0,less than high school,married,กรุงเทพมหานคร,freelance,0.0,less than high school,married,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,married - non registered,สมุทรสาคร,industrial entrepreneur,0.0,,single,สมุทรสาคร,freelance
0.0,bachelor's degree,single,สมุทรปราการ,service business employee,0.0,bachelor's degree,married - registered,สมุทรปราการ,service business employee
0.0,less than high school,single,นครปฐม,commerce entrepreneur,0.0,less than high school,single,นครปฐม,housewife/househusband
0.0,vocational certificate/ diploma,married,อุดรธานี,agricultural/ agro industry entrepreneur,0.0,vocational certificate/ diploma,others,อุดรธานี,agricultural/ agro industry entrepreneur
4.0,bachelor's degree,married,กรุงเทพมหานคร,commerce employee,3.0,bachelor's degree,married,กรุงเทพมหานคร,commerce employee
0.0,less than high school,single,ระยอง,service business employee,0.0,less than high school,single,ระยอง,freelance
0.0,,single,ปราจีนบุรี,industrial business employee,0.0,,single,สระแก้ว,industrial business employee
3.0,less than high school,widow,ปราจีนบุรี,housewife/househusband,3.0,less than high school,widow,ปราจีนบุรี,industrial business employee
0.0,bachelor's degree,married - registered,นครศรีธรรมราช,service business entrepreneur,0.0,high school,married - registered,นครศรีธรรมราช,service business entrepreneur
0.0,less than high school,married,ปทุมธานี,industrial business employee,0.0,less than high school,married,ลพบุรี,industrial business employee
0.0,less than high school,single,สุราษฎร์ธานี,service business employee,0.0,less than high school,single,กรุงเทพมหานคร,freelance
0.0,high school,married,สงขลา,agricultural/ agro industry entrepreneur,2.0,high school,married,สงขลา,commerce entrepreneur
0.0,bachelor's degree,single,เชียงใหม่,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed
0.0,others,married,นครราชสีมา,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,others,single,นครราชสีมา,service business employee
0.0,vocational certificate/ diploma,single,เชียงราย,commerce employee,0.0,vocational certificate/ diploma,single,เชียงราย,others
0.0,less than high school,single,ชลบุรี,commerce entrepreneur,0.0,less than high school,single,ชลบุรี,service business employee
0.0,vocational certificate,single,กรุงเทพมหานคร,commerce employee,0.0,vocational certificate,single,กรุงเทพมหานคร,unemployed
0.0,bachelor's degree,single,เชียงใหม่,commerce entrepreneur,0.0,bachelor's degree,single,เชียงใหม่,service business entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,vocational certificate/ diploma,single,แพร่,industrial business employee,0.0,vocational certificate/ diploma,single,แพร่,freelance
0.0,less than high school,married,กรุงเทพมหานคร,housewife/househusband,0.0,less than high school,married,กรุงเทพมหานคร,others
0.0,high school,single,เชียงใหม่,industrial business employee,0.0,high school,single,ปทุมธานี,industrial business employee
0.0,,married,นครนายก,unemployed,0.0,,married,นครนายก,commerce entrepreneur
0.0,,single,สมุทรปราการ,commerce entrepreneur,0.0,,,นครศรีธรรมราช,"student, university student"
0.0,bachelor's degree,single,เพชรบุรี,employee of association,0.0,bachelor's degree,single,กรุงเทพมหานคร,employee of association
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,others,single,กรุงเทพมหานคร,service business employee,0.0,others,married - registered,กรุงเทพมหานคร,commerce entrepreneur
0.0,high school,single,สมุทรปราการ,service business employee,0.0,high school,single,สมุทรปราการ,industrial business employee
0.0,others,single,ร้อยเอ็ด,freelance,0.0,others,single,ร้อยเอ็ด,freelance
0.0,bachelor's degree,married - registered,ชัยภูมิ,service business employee,0.0,bachelor's degree,married - registered,ชัยภูมิ,government employee
0.0,less than high school,married,กาฬสินธุ์,government employee,0.0,less than high school,single,กาฬสินธุ์,"civil servant, state enterprise employee, pensioner"
0.0,bachelor's degree,married,ชุมพร,financial institution employee,0.0,bachelor's degree,married - non registered,สุราษฎร์ธานี,commercial bank employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,single,ชลบุรี,service business employee,0.0,bachelor's degree,single,สมุทรปราการ,freelance
0.0,high school,single,สุราษฎร์ธานี,commerce entrepreneur,0.0,high school,single,สุราษฎร์ธานี,freelance
0.0,others,others,อุบลราชธานี,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,others,others,กรุงเทพมหานคร,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,others,married - registered,ระยอง,commerce entrepreneur,0.0,others,married,ระยอง,commerce entrepreneur
0.0,high school,single,นครศรีธรรมราช,commerce entrepreneur,0.0,high school,single,นครศรีธรรมราช,"employee of company, store, office"
0.0,high school,single,นนทบุรี,service business employee,0.0,high school,single,ปทุมธานี,industrial business employee
1.0,others,married,ปราจีนบุรี,government employee,0.0,others,married,ปราจีนบุรี,government employee
0.0,others,married,ปราจีนบุรี,industrial business employee,0.0,others,married,มหาสารคาม,housewife/househusband
0.0,,single,กรุงเทพมหานคร,commerce employee,0.0,,,ยะลา,freelance
0.0,others,single,กรุงเทพมหานคร,commerce employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,single,นครศรีธรรมราช,freelance,0.0,,single,เลย,commerce entrepreneur
0.0,others,single,สมุทรปราการ,industrial business employee,0.0,others,married - registered,สมุทรปราการ,industrial business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
1.0,less than high school,married,อุดรธานี,agricultural/ agro industry entrepreneur,1.0,less than high school,married,อุดรธานี,commerce entrepreneur
2.0,bachelor's degree,married,นครปฐม,government employee,2.0,bachelor's degree,married,นครปฐม,government employee
0.0,vocational certificate/ diploma,married,สระบุรี,service business employee,0.0,vocational certificate/ diploma,married,กรุงเทพมหานคร,service business employee
0.0,high school,single,สมุทรสาคร,industrial business employee,0.0,high school,single,บุรีรัมย์,"employee of company, store, office"
0.0,vocational certificate/ diploma,married,ขอนแก่น,commerce entrepreneur,0.0,vocational certificate/ diploma,married,ขอนแก่น,"employee of company, store, office"
2.0,master's degree,married,ระยอง,government employee,2.0,master's degree,married,ศรีสะเกษ,government employee
1.0,master's degree,married - registered,เพชรบุรี,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,master's degree,married - registered,เพชรบุรี,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,high school,single,ขอนแก่น,unemployed,0.0,high school,single,อุดรธานี,unemployed
0.0,bachelor's degree,married - non registered,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,married - non registered,กรุงเทพมหานคร,industrial business employee
0.0,others,single,ชลบุรี,commerce employee,0.0,others,single,บุรีรัมย์,"student, university student"
0.0,,widow,สงขลา,housewife/househusband,0.0,,widow,สงขลา,unemployed
0.0,bachelor's degree,married,นนทบุรี,service business employee,0.0,bachelor's degree,single,นนทบุรี,commerce employee
0.0,less than high school,married,ชลบุรี,industrial business employee,0.0,less than high school,married,สุโขทัย,industrial business employee
1.0,others,married - registered,ปทุมธานี,service business entrepreneur,1.0,high school,married,สมุทรปราการ,freelance
0.0,less than high school,single,กรุงเทพมหานคร,service business employee,0.0,less than high school,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,doctor,0.0,high school,single,สมุทรปราการ,"student, university student"
0.0,,single,ราชบุรี,commerce employee,0.0,,single,ราชบุรี,"student, university student"
1.0,others,married,สุรินทร์,commerce entrepreneur,1.0,others,married - registered,สุรินทร์,commerce entrepreneur
0.0,high school,single,กาญจนบุรี,housewife/househusband,0.0,high school,single,กรุงเทพมหานคร,housewife/househusband
0.0,,single,ลพบุรี,service business employee,0.0,,single,ลพบุรี,"student, university student"
0.0,others,single,น่าน,freelance,0.0,others,single,น่าน,service business employee
0.0,high school,single,ชลบุรี,industrial business employee,0.0,high school,single,บุรีรัมย์,"student, university student"
3.0,high school,married,กรุงเทพมหานคร,unemployed,3.0,high school,married,กรุงเทพมหานคร,freelance
0.0,bachelor's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,less than high school,married - registered,ราชบุรี,commerce entrepreneur,0.0,less than high school,married,ราชบุรี,commerce entrepreneur
1.0,others,single,พระนครศรีอยุธยา,industrial business employee,1.0,others,married,พระนครศรีอยุธยา,industrial business employee
0.0,less than high school,married,ระยอง,service business entrepreneur,0.0,less than high school,single,ระยอง,commerce employee
0.0,vocational certificate/ diploma,married,ขอนแก่น,service business entrepreneur,0.0,vocational certificate/ diploma,single,ขอนแก่น,commerce entrepreneur
0.0,high school,single,ระยอง,service business employee,0.0,high school,single,ระยอง,commerce employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,nurse,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,less than high school,single,นครราชสีมา,industrial business employee,0.0,less than high school,single,กรุงเทพมหานคร,industrial business employee
0.0,bachelor's degree,single,อุบลราชธานี,commerce entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,,married,ร้อยเอ็ด,freelance,0.0,,married,ปราจีนบุรี,freelance
1.0,high school,single,สมุทรสาคร,commerce entrepreneur,0.0,high school,married - registered,สมุทรสาคร,commerce entrepreneur
0.0,high school,single,กรุงเทพมหานคร,commerce employee,0.0,high school,single,ลพบุรี,commerce employee
0.0,high school,single,จันทบุรี,pharmacist,0.0,high school,single,ปทุมธานี,"student, university student"
1.0,others,married,ปทุมธานี,housewife/househusband,0.0,others,married - registered,ปทุมธานี,service business entrepreneur
0.0,high school,single,ภูเก็ต,commerce entrepreneur,0.0,high school,single,สงขลา,"student, university student"
0.0,high school,single,ปทุมธานี,architect,0.0,high school,single,นครนายก,"student, university student"
0.0,others,single,ชลบุรี,service business employee,0.0,others,married - registered,ชลบุรี,service business employee
0.0,,single,ชลบุรี,commerce employee,0.0,,,ชลบุรี,freelance
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business employee
0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,commerce employee,0.0,vocational certificate/ diploma,married,กรุงเทพมหานคร,others
0.0,bachelor's degree,married,เชียงราย,unemployed,0.0,bachelor's degree,married,เชียงราย,commerce entrepreneur
0.0,bachelor's degree,single,ปทุมธานี,unemployed,0.0,bachelor's degree,single,ปทุมธานี,commerce entrepreneur
0.0,vocational certificate/ diploma,married,ฉะเชิงเทรา,unemployed,2.0,vocational certificate/ diploma,married,ฉะเชิงเทรา,"employee of company, store, office"
2.0,bachelor's degree,married,ชลบุรี,housewife/househusband,2.0,bachelor's degree,married,ระยอง,housewife/househusband
0.0,bachelor's degree,married - registered,ร้อยเอ็ด,service business entrepreneur,0.0,bachelor's degree,single,ร้อยเอ็ด,service business entrepreneur
1.0,bachelor's degree,widow,ระยอง,commerce employee,1.0,bachelor's degree,widow,ระยอง,service business entrepreneur
0.0,high school,married,สงขลา,agricultural/ agro industry entrepreneur,0.0,high school,single,สงขลา,agricultural/ agro industry entrepreneur
0.0,bachelor's degree,single,นครศรีธรรมราช,freelance,0.0,bachelor's degree,single,สงขลา,government employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business employee
0.0,less than high school,single,กรุงเทพมหานคร,freelance,0.0,less than high school,single,กรุงเทพมหานคร,"student, university student"
0.0,high school,single,กรุงเทพมหานคร,freelance,0.0,high school,single,พิษณุโลก,freelance
0.0,bachelor's degree,divorce,ขอนแก่น,industrial entrepreneur,0.0,master's degree,divorce,ขอนแก่น,industrial entrepreneur
0.0,less than high school,single,หนองคาย,housewife/househusband,0.0,less than high school,single,กรุงเทพมหานคร,commerce employee
0.0,less than high school,married,ระยอง,service business employee,0.0,less than high school,married,กรุงเทพมหานคร,service business entrepreneur
1.0,vocational certificate/ diploma,married - registered,สมุทรสาคร,industrial business employee,1.0,vocational certificate/ diploma,married,สมุทรสาคร,industrial business employee
1.0,less than high school,married - registered,กรุงเทพมหานคร,service business entrepreneur,1.0,less than high school,married,กรุงเทพมหานคร,service business entrepreneur
0.0,others,married,ระยอง,agricultural/ agro industry entrepreneur,0.0,others,single,ระยอง,agro industry employee
0.0,,single,กรุงเทพมหานคร,"student, university student",0.0,,single,นครราชสีมา,"student, university student"
0.0,others,single,ร้อยเอ็ด,"student, university student",0.0,others,single,สงขลา,"student, university student"
0.0,high school,single,ระนอง,commerce entrepreneur,0.0,high school,single,ระนอง,"employee of company, store, office"
0.0,bachelor's degree,single,กรุงเทพมหานคร,commercial bank employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"employee of company, store, office"
0.0,high school,married,สมุทรปราการ,industrial business employee,1.0,high school,married,สมุทรปราการ,industrial business employee
2.0,less than high school,married,นครปฐม,industrial business employee,2.0,less than high school,married,สมุทรสาคร,industrial business employee
0.0,high school,single,กรุงเทพมหานคร,service business employee,0.0,high school,single,ราชบุรี,commerce employee
0.0,high school,single,สมุทรปราการ,unemployed,0.0,high school,single,นครราชสีมา,industrial business employee
0.0,bachelor's degree,single,ชลบุรี,commerce employee,0.0,bachelor's degree,married - non registered,ชลบุรี,commerce employee
0.0,others,single,ตรัง,"student, university student",0.0,others,others,สมุทรปราการ,"student, university student"
0.0,high school,single,นครพนม,commerce entrepreneur,0.0,high school,married,นครพนม,commerce entrepreneur
0.0,high school,married,ชลบุรี,commerce employee,0.0,high school,married,ชลบุรี,industrial business employee
0.0,bachelor's degree,single,สมุทรปราการ,commerce employee,0.0,bachelor's degree,single,เชียงใหม่,service business entrepreneur
0.0,,single,ศรีสะเกษ,commerce employee,0.0,,single,กรุงเทพมหานคร,commerce employee
0.0,less than high school,single,กรุงเทพมหานคร,commerce employee,0.0,less than high school,single,กรุงเทพมหานคร,"student, university student"
1.0,high school,single,ชลบุรี,industrial business employee,0.0,high school,single,ชลบุรี,industrial business employee
1.0,high school,married,สงขลา,industrial business employee,0.0,high school,married,สงขลา,industrial business employee
0.0,others,single,ชลบุรี,commerce employee,0.0,others,single,ชลบุรี,industrial business employee
0.0,high school,single,พิษณุโลก,commerce entrepreneur,0.0,high school,single,เชียงราย,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,bachelor's degree,single,พระนครศรีอยุธยา,service business employee
0.0,bachelor's degree,single,จันทบุรี,commerce entrepreneur,0.0,vocational certificate/ diploma,married,จันทบุรี,commerce entrepreneur
0.0,others,single,เชียงใหม่,service business employee,0.0,others,single,เชียงใหม่,"student, university student"
1.0,master's degree,divorce,กรุงเทพมหานคร,service business entrepreneur,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business entrepreneur
0.0,bachelor's degree,married - non registered,สงขลา,commerce employee,0.0,,single,สงขลา,freelance
2.0,bachelor's degree,married - registered,กาฬสินธุ์,government employee,2.0,bachelor's degree,married,กาฬสินธุ์,government employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,married,เชียงใหม่,commerce entrepreneur,0.0,bachelor's degree,married,เชียงใหม่,commerce entrepreneur
0.0,bachelor's degree,married,ราชบุรี,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed
0.0,vocational certificate,single,เพชรบูรณ์,commerce employee,0.0,vocational certificate,single,เพชรบูรณ์,government employee
0.0,master's degree,single,ปทุมธานี,unemployed,0.0,master's degree,single,ปทุมธานี,"employee of company, store, office"
0.0,high school,single,สมุทรปราการ,freelance,0.0,high school,single,ปทุมธานี,freelance
1.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,less than high school,single,กาฬสินธุ์,freelance,0.0,less than high school,divorce,มหาสารคาม,commerce entrepreneur
0.0,vocational certificate/ diploma,married,กรุงเทพมหานคร,service business employee,0.0,vocational certificate/ diploma,others,กรุงเทพมหานคร,"employee of company, store, office"
1.0,vocational certificate/ diploma,single,ระยอง,commerce employee,1.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,freelance
0.0,less than high school,single,นครปฐม,service business employee,0.0,less than high school,single,สงขลา,freelance
0.0,high school,single,นนทบุรี,service business entrepreneur,0.0,high school,married - registered,นนทบุรี,service business entrepreneur
0.0,others,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,high school,single,นนทบุรี,commerce employee,0.0,high school,single,นนทบุรี,"student, university student"
0.0,bachelor's degree,married,ชลบุรี,service business entrepreneur,0.0,bachelor's degree,married - registered,ชลบุรี,service business entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,พะเยา,service business employee
1.0,others,married - registered,ชลบุรี,commerce entrepreneur,0.0,others,married - registered,ชลบุรี,commerce entrepreneur
1.0,bachelor's degree,married,ปทุมธานี,service business employee,1.0,bachelor's degree,married - registered,ปทุมธานี,service business employee
0.0,,single,นครสวรรค์,commerce entrepreneur,0.0,,single,นครสวรรค์,commerce entrepreneur
0.0,bachelor's degree,single,ปราจีนบุรี,industrial business employee,0.0,others,married - registered,ปราจีนบุรี,industrial business employee
0.0,,married,ร้อยเอ็ด,commerce employee,0.0,,married,ร้อยเอ็ด,service business employee
0.0,,married,อุดรธานี,commerce employee,0.0,,single,ระยอง,industrial business employee
0.0,high school,single,กรุงเทพมหานคร,commerce employee,0.0,high school,single,กรุงเทพมหานคร,commerce employee
0.0,others,others,กรุงเทพมหานคร,"student, university student",0.0,others,others,ขอนแก่น,"student, university student"
0.0,less than high school,single,สมุทรสาคร,service business employee,0.0,less than high school,married - registered,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,single,ชลบุรี,unemployed,0.0,bachelor's degree,single,ชลบุรี,state enterprise employee
0.0,bachelor's degree,divorce,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,married,กรุงเทพมหานคร,commerce employee
1.0,bachelor's degree,single,กรุงเทพมหานคร,housewife/househusband,1.0,bachelor's degree,married,กรุงเทพมหานคร,service business employee
0.0,less than high school,married,นราธิวาส,unemployed,0.0,less than high school,married,กรุงเทพมหานคร,unemployed
0.0,high school,single,สมุทรปราการ,commerce employee,0.0,high school,single,ศรีสะเกษ,education practitioner
0.0,,single,บึงกาฬ,freelance,0.0,,single,ชลบุรี,service business employee
0.0,less than high school,single,นครราชสีมา,commerce entrepreneur,0.0,less than high school,single,นครราชสีมา,"student, university student"
0.0,bachelor's degree,single,ฉะเชิงเทรา,agricultural/ agro industry entrepreneur,0.0,,single,ฉะเชิงเทรา,industrial business employee
0.0,vocational certificate/ diploma,others,ฉะเชิงเทรา,industrial business employee,0.0,vocational certificate/ diploma,others,ปทุมธานี,industrial business employee
0.0,,single,ปราจีนบุรี,service business employee,0.0,,single,ปราจีนบุรี,industrial business employee
0.0,others,single,กรุงเทพมหานคร,service business employee,0.0,others,others,ร้อยเอ็ด,"student, university student"
0.0,less than high school,married,สระบุรี,service business entrepreneur,0.0,less than high school,married - registered,สระบุรี,service business entrepreneur
0.0,less than high school,single,แพร่,government employee,0.0,less than high school,single,แพร่,judicial officer (judge)
0.0,bachelor's degree,married,อุดรธานี,commerce entrepreneur,0.0,bachelor's degree,married,อุดรธานี,commerce entrepreneur
0.0,,single,ชลบุรี,commerce employee,0.0,,single,ชลบุรี,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance,0.0,bachelor's degree,single,อุดรธานี,"student, university student"
0.0,vocational certificate,single,กาญจนบุรี,commerce entrepreneur,0.0,vocational certificate,single,กาญจนบุรี,commerce entrepreneur
0.0,,single,ตาก,commerce entrepreneur,0.0,,single,ตาก,freelance
0.0,others,single,มหาสารคาม,industrial business employee,0.0,,single,มหาสารคาม,"student, university student"
0.0,bachelor's degree,single,ปทุมธานี,industrial business employee,0.0,bachelor's degree,single,ปทุมธานี,commerce employee
2.0,bachelor's degree,married - registered,กรุงเทพมหานคร,nurse,2.0,bachelor's degree,married,กรุงเทพมหานคร,nurse
0.0,high school,single,ระยอง,service business employee,0.0,high school,single,ระยอง,"employee of company, store, office"
0.0,high school,married,พระนครศรีอยุธยา,industrial business employee,0.0,high school,married,ปทุมธานี,service business employee
0.0,,married,นครราชสีมา,service business entrepreneur,0.0,,married,อำนาจเจริญ,freelance
0.0,high school,married,สุรินทร์,industrial business employee,0.0,high school,married - registered,สมุทรปราการ,industrial business employee
0.0,,single,ปทุมธานี,service business employee,0.0,,single,นนทบุรี,service business employee
0.0,,single,ลพบุรี,freelance,0.0,,single,ราชบุรี,freelance
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business entrepreneur,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business entrepreneur
0.0,bachelor's degree,single,ขอนแก่น,nurse,0.0,bachelor's degree,single,กรุงเทพมหานคร,nurse
0.0,vocational certificate,single,กรุงเทพมหานคร,commerce employee,0.0,vocational certificate,single,กรุงเทพมหานคร,commerce employee
0.0,high school,single,กำแพงเพชร,industrial business employee,0.0,high school,single,กำแพงเพชร,industrial business employee
0.0,bachelor's degree,married - registered,สมุทรปราการ,government employee,0.0,bachelor's degree,single,สมุทรปราการ,"teacher and executive in kindergarten; primary, secondary, vocational school"
1.0,vocational certificate,single,กรุงเทพมหานคร,industrial business employee,0.0,vocational certificate,married - registered,กรุงเทพมหานคร,industrial business employee
0.0,high school,married,นนทบุรี,freelance,0.0,high school,married,นนทบุรี,service business employee
1.0,bachelor's degree,married,นนทบุรี,architect,1.0,bachelor's degree,married,กรุงเทพมหานคร,"employee of company, store, office"
0.0,bachelor's degree,single,กรุงเทพมหานคร,engineer,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,less than high school,single,สงขลา,freelance,0.0,less than high school,single,พิจิตร,commerce entrepreneur
0.0,high school,married - registered,กรุงเทพมหานคร,commerce entrepreneur,0.0,others,married - registered,กรุงเทพมหานคร,state enterprise employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,married,กระบี่,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,bachelor's degree,married - registered,กระบี่,"teacher and executive in kindergarten; primary, secondary, vocational school"
,,,นครสวรรค์,freelance,,,,nsn,freelance
0.0,others,single,ภูเก็ต,service business employee,0.0,others,single,ระนอง,"student, university student"
1.0,others,single,ขอนแก่น,commerce entrepreneur,0.0,others,single,ขอนแก่น,service business entrepreneur
0.0,others,single,นครสวรรค์,service business employee,0.0,others,single,นครสวรรค์,industrial business employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,service business entrepreneur,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,businessman
0.0,less than high school,single,ฉะเชิงเทรา,service business employee,0.0,less than high school,single,ปราจีนบุรี,service business employee
0.0,bachelor's degree,single,สมุทรปราการ,commerce entrepreneur,0.0,bachelor's degree,married,สมุทรปราการ,industrial entrepreneur
2.0,master's degree,married,ปทุมธานี,housewife/househusband,2.0,master's degree,married,ปทุมธานี,housewife/househusband
0.0,high school,single,อำนาจเจริญ,commerce employee,0.0,high school,single,อำนาจเจริญ,"student, university student"
0.0,bachelor's degree,married,กาฬสินธุ์,industrial entrepreneur,0.0,bachelor's degree,married,สระบุรี,industrial entrepreneur
1.0,high school,single,ชลบุรี,housewife/househusband,1.0,high school,single,ชลบุรี,freelance
0.0,bachelor's degree,married - non registered,นนทบุรี,commerce entrepreneur,0.0,vocational certificate/ diploma,single,นนทบุรี,commerce entrepreneur
0.0,others,married,ลพบุรี,unemployed,0.0,others,others,ลพบุรี,agricultural/ agro industry entrepreneur
1.0,vocational certificate/ diploma,married,ชลบุรี,unemployed,1.0,vocational certificate/ diploma,married,ชลบุรี,industrial business employee
0.0,vocational certificate/ diploma,single,ลำพูน,commerce entrepreneur,0.0,vocational certificate/ diploma,single,ลำพูน,freelance
0.0,less than high school,married,สมุทรสาคร,service business entrepreneur,0.0,less than high school,married,ภูเก็ต,service business employee
0.0,high school,single,นนทบุรี,industrial business employee,0.0,high school,single,พระนครศรีอยุธยา,industrial business employee
0.0,high school,single,ชลบุรี,service business employee,0.0,high school,single,ชลบุรี,industrial business employee
0.0,less than high school,single,นนทบุรี,industrial business employee,0.0,less than high school,married - registered,นนทบุรี,industrial business employee
0.0,,single,ราชบุรี,agricultural/ agro industry entrepreneur,0.0,,single,ราชบุรี,industrial business employee
0.0,less than high school,single,กรุงเทพมหานคร,industrial business employee,0.0,less than high school,single,กรุงเทพมหานคร,industrial business employee
0.0,doctorate's degree,married,กรุงเทพมหานคร,doctor,0.0,doctorate's degree,single,กรุงเทพมหานคร,"civil servant, state enterprise employee, pensioner"
0.0,less than high school,single,สุรินทร์,freelance,0.0,less than high school,single,สุรินทร์,"employee of company, store, office"
0.0,bachelor's degree,married - non registered,กรุงเทพมหานคร,service business employee,0.0,others,others,กรุงเทพมหานคร,others
0.0,vocational certificate/ diploma,single,สมุทรสาคร,industrial business employee,0.0,vocational certificate/ diploma,single,สกลนคร,commerce employee
0.0,others,married,สมุทรสงคราม,commerce entrepreneur,0.0,others,married,สมุทรสงคราม,commerce employee
0.0,others,married - registered,กรุงเทพมหานคร,public attorney,0.0,others,married - registered,กรุงเทพมหานคร,public attorney
0.0,high school,single,ชลบุรี,service business employee,0.0,high school,single,ชลบุรี,"student, university student"
0.0,bachelor's degree,single,สมุทรปราการ,service business employee,0.0,bachelor's degree,married - registered,สมุทรปราการ,service business employee
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,single,นครปฐม,service business employee
0.0,bachelor's degree,single,สมุทรปราการ,service business employee,0.0,others,others,สมุทรปราการ,industrial business employee
0.0,less than high school,married,สระบุรี,commerce entrepreneur,1.0,less than high school,married,สระบุรี,commerce entrepreneur
0.0,less than high school,single,นครปฐม,industrial business employee,0.0,less than high school,single,นครปฐม,freelance
0.0,less than high school,single,นครปฐม,industrial business employee,0.0,less than high school,single,นครปฐม,freelance
0.0,high school,single,บึงกาฬ,financial institution employee,0.0,high school,single,บึงกาฬ,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,high school,single,อุดรธานี,industrial business employee,0.0,high school,single,ฉะเชิงเทรา,industrial business employee
0.0,high school,single,ปทุมธานี,commerce entrepreneur,0.0,high school,single,ชลบุรี,"student, university student"
0.0,bachelor's degree,married - registered,ตราด,government employee,0.0,master's degree,married,ตราด,"teacher and executive in kindergarten; primary, secondary, vocational school"
